Time,time,deltaX,deltaY,range,surfaceQuality
1638389491.5390446,1638389491553234143,31,11,8190,144
1638389491.6505601,1638389491664797118,32,13,8191,135
1638389491.7505188,1638389491764800994,27,0,8191,118
1638389491.8382251,1638389491851954555,30,9,8190,122
1638389491.9394128,1638389491953564974,32,10,8190,130
1638389492.043021,1638389492053451498,30,13,8190,125
1638389492.1392117,1638389492153389533,32,12,8190,107
1638389492.2517354,1638389492265597383,27,13,8191,94
1638389492.339254,1638389492352754692,28,8,8190,84
1638389492.4521787,1638389492465771959,27,9,8191,99
1638389492.5402744,1638389492554104017,32,5,8190,110
1638389492.6652644,1638389492666252437,24,7,8191,97
1638389492.7439404,1638389492756023529,29,10,8190,91
1638389492.8507705,1638389492864731559,30,11,8191,99
1638389492.9529986,1638389492965964715,27,10,8191,111
1638389493.0407424,1638389493054806902,30,2,8190,107
1638389493.1405048,1638389493154723788,29,-2,8190,104
1638389493.2404544,1638389493254720990,27,7,8190,102
1638389493.3409956,1638389493354578549,26,9,8190,100
1638389493.4548643,1638389493468462525,29,22,8191,113
1638389493.555597,1638389493568952669,28,9,8191,131
1638389493.641859,1638389493655431554,32,11,8190,121
1638389493.7921615,1638389493754084674,25,5,8190,122
1638389493.8541796,1638389493868278094,34,11,8191,130
1638389493.9547148,1638389493968497703,26,8,8191,143
1638389494.0498712,1638389494063894088,21,5,8191,150
1638389494.1365986,1638389494150951490,24,3,8190,149
1638389494.2499352,1638389494264147717,23,4,8191,143
1638389494.3369935,1638389494351218088,13,5,8190,141
1638389494.4508595,1638389494464700790,18,5,8191,132
1638389494.5400379,1638389494552824914,18,6,8190,130
1638389494.651915,1638389494666139169,19,5,8191,142
1638389494.7411191,1638389494754969373,13,3,8190,145
1638389494.8522904,1638389494866254927,-2,0,8190,145
1638389494.9388862,1638389494952939861,-3,0,8190,140
1638389495.050639,1638389495064523606,-2,0,8191,140
1638389495.150643,1638389495164858840,0,0,8190,139
1638389495.2377753,1638389495251782586,4,0,8190,138
1638389495.3367665,1638389495351148863,-1,0,8190,136
1638389495.437566,1638389495451292941,0,0,8190,141
1638389495.553904,1638389495567486615,0,0,8191,140
1638389495.650931,1638389495664873516,0,1,8191,136
1638389495.7376223,1638389495751758302,4,0,8190,139
1638389495.851381,1638389495865378142,0,0,8191,142
1638389495.937913,1638389495952125525,1,0,8190,137
1638389496.0378866,1638389496051939532,0,0,8190,143
1638389496.1388853,1638389496152929016,0,0,8190,139
1638389496.2509768,1638389496265015542,0,0,8191,140
1638389496.3376205,1638389496352011269,0,0,8190,138
1638389496.439542,1638389496453941740,0,0,8190,137
1638389496.5386844,1638389496553103106,0,0,8190,143
1638389496.6388178,1638389496652872005,0,0,8190,139
1638389496.7516444,1638389496765858683,0,0,8191,142
1638389496.8518226,1638389496865600966,0,0,8191,141
1638389496.9515395,1638389496965894736,-6,1,8191,141
1638389497.0388327,1638389497052904628,-1,0,8190,135
1638389497.1383731,1638389497152738475,6,0,8190,137
1638389497.2382805,1638389497252721653,11,-5,8190,127
1638389497.3384578,1638389497352778636,10,-5,8190,124
1638389497.438678,1638389497452825047,-1,-1,8190,129
